1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 3600000062392621
Is Mission Active?  true
Mission Start:  Fri Jul 21 15:13:00 AKDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  1578
Total Samples:  3051
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
7/21/23 8:01:00 PM,C,4.5
7/21/23 8:02:00 PM,C,4.5
7/21/23 8:03:00 PM,C,4.5
7/21/23 8:04:00 PM,C,4.5
7/21/23 8:05:00 PM,C,4.5
7/21/23 8:06:00 PM,C,4.5
7/21/23 8:07:00 PM,C,4.5
7/21/23 8:08:00 PM,C,4.5
7/21/23 8:09:00 PM,C,4.5
7/21/23 8:10:00 PM,C,4.5
7/21/23 8:11:00 PM,C,4.5
7/21/23 8:12:00 PM,C,4.5
7/21/23 8:13:00 PM,C,4.5
7/21/23 8:14:00 PM,C,4.5
7/21/23 8:15:00 PM,C,4.5
7/21/23 8:16:00 PM,C,4.5
7/21/23 8:17:00 PM,C,5
7/21/23 8:18:00 PM,C,5
7/21/23 8:19:00 PM,C,5
7/21/23 8:20:00 PM,C,5
7/21/23 8:21:00 PM,C,5
7/21/23 8:22:00 PM,C,5
7/21/23 8:23:00 PM,C,5
7/21/23 8:24:00 PM,C,5
7/21/23 8:25:00 PM,C,5
7/21/23 8:26:00 PM,C,5
7/21/23 8:27:00 PM,C,5
7/21/23 8:28:00 PM,C,5
7/21/23 8:29:00 PM,C,5
7/21/23 8:30:00 PM,C,5
7/21/23 8:31:00 PM,C,5
7/21/23 8:32:00 PM,C,5
7/21/23 8:33:00 PM,C,5
7/21/23 8:34:00 PM,C,4.5
7/21/23 8:35:00 PM,C,4.5
7/21/23 8:36:00 PM,C,4.5
7/21/23 8:37:00 PM,C,4
7/21/23 8:38:00 PM,C,4
7/21/23 8:39:00 PM,C,4
7/21/23 8:40:00 PM,C,4
7/21/23 8:41:00 PM,C,4
7/21/23 8:42:00 PM,C,4
7/21/23 8:43:00 PM,C,4
7/21/23 8:44:00 PM,C,4
7/21/23 8:45:00 PM,C,4
7/21/23 8:46:00 PM,C,4
7/21/23 8:47:00 PM,C,4
7/21/23 8:48:00 PM,C,4
7/21/23 8:49:00 PM,C,4
7/21/23 8:50:00 PM,C,4
7/21/23 8:51:00 PM,C,4
7/21/23 8:52:00 PM,C,4.5
7/21/23 8:53:00 PM,C,4.5
7/21/23 8:54:00 PM,C,4.5
7/21/23 8:55:00 PM,C,4.5
7/21/23 8:56:00 PM,C,4.5
7/21/23 8:57:00 PM,C,4.5
7/21/23 8:58:00 PM,C,4.5
7/21/23 8:59:00 PM,C,4.5
7/21/23 9:00:00 PM,C,4.5
7/21/23 9:01:00 PM,C,4.5
7/21/23 9:02:00 PM,C,4.5
7/21/23 9:03:00 PM,C,4.5
7/21/23 9:04:00 PM,C,4.5
7/21/23 9:05:00 PM,C,5
7/21/23 9:06:00 PM,C,5
7/21/23 9:07:00 PM,C,5
7/21/23 9:08:00 PM,C,5
7/21/23 9:09:00 PM,C,5
7/21/23 9:10:00 PM,C,5
7/21/23 9:11:00 PM,C,5
7/21/23 9:12:00 PM,C,5
7/21/23 9:13:00 PM,C,5
7/21/23 9:14:00 PM,C,5
7/21/23 9:15:00 PM,C,5
7/21/23 9:16:00 PM,C,5
7/21/23 9:17:00 PM,C,4.5
7/21/23 9:18:00 PM,C,4.5
7/21/23 9:19:00 PM,C,4.5
7/21/23 9:20:00 PM,C,4.5
7/21/23 9:21:00 PM,C,4
7/21/23 9:22:00 PM,C,4
7/21/23 9:23:00 PM,C,4
7/21/23 9:24:00 PM,C,4
7/21/23 9:25:00 PM,C,4
7/21/23 9:26:00 PM,C,4
7/21/23 9:27:00 PM,C,4
7/21/23 9:28:00 PM,C,4
7/21/23 9:29:00 PM,C,4
7/21/23 9:30:00 PM,C,4
7/21/23 9:31:00 PM,C,4
7/21/23 9:32:00 PM,C,4
7/21/23 9:33:00 PM,C,4
7/21/23 9:34:00 PM,C,4
7/21/23 9:35:00 PM,C,4
7/21/23 9:36:00 PM,C,4.5
7/21/23 9:37:00 PM,C,4.5
7/21/23 9:38:00 PM,C,4.5
7/21/23 9:39:00 PM,C,4.5
7/21/23 9:40:00 PM,C,4.5
7/21/23 9:41:00 PM,C,4.5
7/21/23 9:42:00 PM,C,4.5
7/21/23 9:43:00 PM,C,4.5
7/21/23 9:44:00 PM,C,4.5
7/21/23 9:45:00 PM,C,5
7/21/23 9:46:00 PM,C,5
7/21/23 9:47:00 PM,C,5
7/21/23 9:48:00 PM,C,5
7/21/23 9:49:00 PM,C,5
7/21/23 9:50:00 PM,C,5
7/21/23 9:51:00 PM,C,5
7/21/23 9:52:00 PM,C,5
7/21/23 9:53:00 PM,C,5
7/21/23 9:54:00 PM,C,5
7/21/23 9:55:00 PM,C,5
7/21/23 9:56:00 PM,C,5
7/21/23 9:57:00 PM,C,5
7/21/23 9:58:00 PM,C,5
7/21/23 9:59:00 PM,C,5
7/21/23 10:00:00 PM,C,5
7/21/23 10:01:00 PM,C,5
7/21/23 10:02:00 PM,C,5
7/21/23 10:03:00 PM,C,5
7/21/23 10:04:00 PM,C,5
7/21/23 10:05:00 PM,C,5
7/21/23 10:06:00 PM,C,5
7/21/23 10:07:00 PM,C,5
7/21/23 10:08:00 PM,C,4.5
7/21/23 10:09:00 PM,C,4.5
7/21/23 10:10:00 PM,C,4.5
7/21/23 10:11:00 PM,C,4.5
7/21/23 10:12:00 PM,C,4.5
7/21/23 10:13:00 PM,C,4.5
7/21/23 10:14:00 PM,C,4.5
7/21/23 10:15:00 PM,C,4.5
7/21/23 10:16:00 PM,C,4.5
7/21/23 10:17:00 PM,C,4.5
7/21/23 10:18:00 PM,C,4.5
7/21/23 10:19:00 PM,C,4.5
7/21/23 10:20:00 PM,C,4.5
7/21/23 10:21:00 PM,C,4.5
7/21/23 10:22:00 PM,C,4.5
7/21/23 10:23:00 PM,C,4.5
7/21/23 10:24:00 PM,C,4.5
7/21/23 10:25:00 PM,C,4.5
7/21/23 10:26:00 PM,C,4.5
7/21/23 10:27:00 PM,C,4.5
7/21/23 10:28:00 PM,C,4.5
7/21/23 10:29:00 PM,C,4.5
7/21/23 10:30:00 PM,C,4.5
7/21/23 10:31:00 PM,C,4.5
7/21/23 10:32:00 PM,C,4.5
7/21/23 10:33:00 PM,C,4.5
7/21/23 10:34:00 PM,C,4.5
7/21/23 10:35:00 PM,C,4.5
7/21/23 10:36:00 PM,C,4.5
7/21/23 10:37:00 PM,C,4.5
7/21/23 10:38:00 PM,C,4.5
7/21/23 10:39:00 PM,C,4
7/21/23 10:40:00 PM,C,4
7/21/23 10:41:00 PM,C,4
7/21/23 10:42:00 PM,C,4
7/21/23 10:43:00 PM,C,4
7/21/23 10:44:00 PM,C,4
7/21/23 10:45:00 PM,C,4
7/21/23 10:46:00 PM,C,4
7/21/23 10:47:00 PM,C,4
7/21/23 10:48:00 PM,C,4
7/21/23 10:49:00 PM,C,4
7/21/23 10:50:00 PM,C,4
7/21/23 10:51:00 PM,C,4
7/21/23 10:52:00 PM,C,4
7/21/23 10:53:00 PM,C,4
7/21/23 10:54:00 PM,C,4
7/21/23 10:55:00 PM,C,4
7/21/23 10:56:00 PM,C,4
7/21/23 10:57:00 PM,C,4
7/21/23 10:58:00 PM,C,4
7/21/23 10:59:00 PM,C,4
7/21/23 11:00:00 PM,C,4
7/21/23 11:01:00 PM,C,4
7/21/23 11:02:00 PM,C,4
7/21/23 11:03:00 PM,C,3.5
7/21/23 11:04:00 PM,C,3.5
7/21/23 11:05:00 PM,C,3.5
7/21/23 11:06:00 PM,C,3.5
7/21/23 11:07:00 PM,C,3.5
7/21/23 11:08:00 PM,C,3.5
7/21/23 11:09:00 PM,C,3.5
7/21/23 11:10:00 PM,C,3.5
7/21/23 11:11:00 PM,C,3.5
7/21/23 11:12:00 PM,C,3.5
7/21/23 11:13:00 PM,C,3.5
7/21/23 11:14:00 PM,C,3.5
7/21/23 11:15:00 PM,C,3.5
7/21/23 11:16:00 PM,C,4
7/21/23 11:17:00 PM,C,4
7/21/23 11:18:00 PM,C,4
7/21/23 11:19:00 PM,C,4
7/21/23 11:20:00 PM,C,4
7/21/23 11:21:00 PM,C,4.5
7/21/23 11:22:00 PM,C,4.5
7/21/23 11:23:00 PM,C,4.5
7/21/23 11:24:00 PM,C,5
7/21/23 11:25:00 PM,C,5
7/21/23 11:26:00 PM,C,5
7/21/23 11:27:00 PM,C,5.5
7/21/23 11:28:00 PM,C,5.5
7/21/23 11:29:00 PM,C,5.5
7/21/23 11:30:00 PM,C,5.5
7/21/23 11:31:00 PM,C,5.5
7/21/23 11:32:00 PM,C,6
7/21/23 11:33:00 PM,C,6
7/21/23 11:34:00 PM,C,6
7/21/23 11:35:00 PM,C,6
7/21/23 11:36:00 PM,C,6
7/21/23 11:37:00 PM,C,6
7/21/23 11:38:00 PM,C,6
7/21/23 11:39:00 PM,C,6.5
7/21/23 11:40:00 PM,C,6.5
7/21/23 11:41:00 PM,C,6.5
7/21/23 11:42:00 PM,C,6.5
7/21/23 11:43:00 PM,C,6.5
7/21/23 11:44:00 PM,C,6.5
7/21/23 11:45:00 PM,C,6
7/21/23 11:46:00 PM,C,6
7/21/23 11:47:00 PM,C,6
7/21/23 11:48:00 PM,C,6
7/21/23 11:49:00 PM,C,6
7/21/23 11:50:00 PM,C,5.5
7/21/23 11:51:00 PM,C,5.5
7/21/23 11:52:00 PM,C,5.5
7/21/23 11:53:00 PM,C,5.5
7/21/23 11:54:00 PM,C,5.5
7/21/23 11:55:00 PM,C,5.5
7/21/23 11:56:00 PM,C,5
7/21/23 11:57:00 PM,C,5
7/21/23 11:58:00 PM,C,5
7/21/23 11:59:00 PM,C,5
7/22/23 12:00:00 AM,C,4.5
7/22/23 12:01:00 AM,C,4.5
7/22/23 12:02:00 AM,C,4.5
7/22/23 12:03:00 AM,C,4.5
7/22/23 12:04:00 AM,C,4.5
7/22/23 12:05:00 AM,C,4.5
7/22/23 12:06:00 AM,C,4.5
7/22/23 12:07:00 AM,C,4.5
7/22/23 12:08:00 AM,C,4.5
7/22/23 12:09:00 AM,C,4.5
7/22/23 12:10:00 AM,C,4.5
7/22/23 12:11:00 AM,C,4.5
7/22/23 12:12:00 AM,C,4.5
7/22/23 12:13:00 AM,C,4.5
7/22/23 12:14:00 AM,C,4.5
7/22/23 12:15:00 AM,C,4.5
7/22/23 12:16:00 AM,C,4.5
7/22/23 12:17:00 AM,C,4.5
7/22/23 12:18:00 AM,C,4.5
7/22/23 12:19:00 AM,C,4.5
7/22/23 12:20:00 AM,C,4.5
7/22/23 12:21:00 AM,C,4.5
7/22/23 12:22:00 AM,C,5
7/22/23 12:23:00 AM,C,5
7/22/23 12:24:00 AM,C,5
7/22/23 12:25:00 AM,C,5
7/22/23 12:26:00 AM,C,5
7/22/23 12:27:00 AM,C,5
7/22/23 12:28:00 AM,C,5
7/22/23 12:29:00 AM,C,5
7/22/23 12:30:00 AM,C,5
7/22/23 12:31:00 AM,C,5
7/22/23 12:32:00 AM,C,5
7/22/23 12:33:00 AM,C,5
7/22/23 12:34:00 AM,C,5
7/22/23 12:35:00 AM,C,5
7/22/23 12:36:00 AM,C,5
7/22/23 12:37:00 AM,C,5
7/22/23 12:38:00 AM,C,5
7/22/23 12:39:00 AM,C,5
7/22/23 12:40:00 AM,C,5
7/22/23 12:41:00 AM,C,5
7/22/23 12:42:00 AM,C,5
7/22/23 12:43:00 AM,C,5
7/22/23 12:44:00 AM,C,5
7/22/23 12:45:00 AM,C,5
7/22/23 12:46:00 AM,C,5
7/22/23 12:47:00 AM,C,5
7/22/23 12:48:00 AM,C,5
